Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC	CitesPerYear	CitesPerAuthor	AuthorCount	Age	Abstract	FullTextURL	RelatedURL
128	B.A. Odilov	Utilizing Deep Learning and the Internet of Things to Monitor the Health of Aquatic Ecosystems to Conserve Biodiversity	2024	Natural and Engineering Sciences		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85195589109&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85195589109&origin=inward	1	11/28/2024 19:10	Article	10.28978/nesciences.1491795	2458-8989	https://api.elsevier.com/content/abstract/scopus_id/85195589109	9	1	72	83	128	128	128	1	1			
58	K.C. Rath	The Role of Internet of Things (IoT) Technology in Industry 4.0 Economy	2024	Advanced IoT Technologies and Applications in the Industry 4.0 Digital Economy		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85193583016&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85193583016&origin=inward	2	11/28/2024 19:10	Book Chapter	10.1201/9781003434269-1		https://api.elsevier.com/content/abstract/scopus_id/85193583016			1	28	58	58	58	1	1			
54	S.F. Ahmed	"Insights into Internet of Medical Things (IoMT): Data fusion, security issues and potential solutions"	2024	Information Fusion		https://api.elsevier.com/content/article/eid/1-s2.0-S1566253523003767	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85174042084&origin=inward	3	11/28/2024 19:10	Article	10.1016/j.inffus.2023.102060	1566-2535	https://api.elsevier.com/content/abstract/scopus_id/85174042084	102				54	54	54	1	1			
52	A. Dhar Dwivedi	"Blockchain and artificial intelligence for 5G-enabled Internet of Things: Challenges, opportunities, and solutions"	2024	Transactions on Emerging Telecommunications Technologies		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85109826909&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85109826909&origin=inward	4	11/28/2024 19:10	Article	10.1002/ett.4329	2161-3915	https://api.elsevier.com/content/abstract/scopus_id/85109826909	35	4			52	52	52	1	1			
51	A. Morchid	Applications of internet of things (IoT) and sensors technology to increase food security and agricultural Sustainability: Benefits and challenges	2024	Ain Shams Engineering Journal		https://api.elsevier.com/content/article/eid/1-s2.0-S2090447923003982	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85173184344&origin=inward	5	11/28/2024 19:10	Article	10.1016/j.asej.2023.102509	2090-4479	https://api.elsevier.com/content/abstract/scopus_id/85173184344	15	3			51	51	51	1	1			
44	A. Abbas	Blockchain-assisted secured data management framework for health information analysis based on Internet of Medical Things	2024	Personal and Ubiquitous Computing		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85108333660&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85108333660&origin=inward	6	11/28/2024 19:10	Article	10.1007/s00779-021-01583-8	1617-4909	https://api.elsevier.com/content/abstract/scopus_id/85108333660	28	1	59	72	44	44	44	1	1			
43	V. Puri	Artificial intelligence-powered decentralized framework for Internet of Things in Healthcare 4.0	2024	Transactions on Emerging Telecommunications Technologies		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85101884965&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85101884965&origin=inward	7	11/28/2024 19:10	Conference Paper	10.1002/ett.4245	2161-3915	https://api.elsevier.com/content/abstract/scopus_id/85101884965	35	4			43	43	43	1	1			
42	M.J. Kumar	Bayesian decision model based reliable route formation in internet of things	2024	Indonesian Journal of Electrical Engineering and Computer Science		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85190983457&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85190983457&origin=inward	8	11/28/2024 19:10	Article	10.11591/ijeecs.v34.i3.pp1665-1673	2502-4752	https://api.elsevier.com/content/abstract/scopus_id/85190983457	34	3	1665	1673	42	42	42	1	1			
37	Z. Sisi	Blockchain technology for energy-aware mobile crowd sensing approaches in Internet of Things	2024	Transactions on Emerging Telecommunications Technologies		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099369030&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099369030&origin=inward	9	11/28/2024 19:10	Article	10.1002/ett.4217	2161-3915	https://api.elsevier.com/content/abstract/scopus_id/85099369030	35	4			37	37	37	1	1			
34	A. Ullah	Smart cities: the role of Internet of Things and machine learning in realizing a data-centric smart environment	2024	Complex and Intelligent Systems		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85165691680&origin=inward	https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85165691680&origin=inward	10	11/28/2024 19:10	Article	10.1007/s40747-023-01175-4	2199-4536	https://api.elsevier.com/content/abstract/scopus_id/85165691680	10	1	1607	1637	34	34	34	1	1			
